emoji,emoji_name,love_score
🤌,pinched fingers,36.89
🤌🏻,pinched fingers: light skin tone,58.37
🤌🏼,pinched fingers: medium-light skin tone,42.26
🤌🏽,pinched fingers: medium skin tone,25.45
🤌🏾,pinched fingers: medium-dark skin tone,45.81
🤌🏿,pinched fingers: dark skin tone,52.27
🤏,pinching hand,7.91
🤏🏻,pinching hand: light skin tone,43.88
🤏🏼,pinching hand: medium-light skin tone,7.91
🤏🏽,pinching hand: medium skin tone,7.91
🤏🏾,pinching hand: medium-dark skin tone,7.91
🤏🏿,pinching hand: dark skin tone,7.91
✌🏻,victory hand: light skin tone,31.38
🤞,crossed fingers,15.83
🤞🏻,crossed fingers: light skin tone,41.7
🤞🏼,crossed fingers: medium-light skin tone,35.24
🤞🏽,crossed fingers: medium skin tone,18.43
🤞🏾,crossed fingers: medium-dark skin tone,38.78
🤞🏿,crossed fingers: dark skin tone,45.25
🫰,hand with index finger and thumb crossed,22.9
🫰🏻,hand with index finger and thumb crossed: light skin tone,51.38
🫰🏼,hand with index finger and thumb crossed: medium-light skin tone,22.9
🫰🏽,hand with index finger and thumb crossed: medium skin tone,22.9
🫰🏾,hand with index finger and thumb crossed: medium-dark skin tone,22.9
🫰🏿,hand with index finger and thumb crossed: dark skin tone,56.7
🤟,love-you gesture,36.55
🤟🏻,love-you gesture: light skin tone,58.2
🤟🏼,love-you gesture: medium-light skin tone,42.14
🤟🏽,love-you gesture: medium skin tone,23.29
🤟🏾,love-you gesture: medium-dark skin tone,23.29
🤟🏿,love-you gesture: dark skin tone,63.52
🤘🏻,sign of the horns: light skin tone,54.64
🤘🏼,sign of the horns: medium-light skin tone,79.85
🤘🏽,sign of the horns: medium skin tone,29.43
🤘🏿,sign of the horns: dark skin tone,59.96
🤙,call me hand,86.12
🤙🏻,call me hand: light skin tone,82.99
🤙🏼,call me hand: medium-light skin tone,86.12
🤙🏽,call me hand: medium skin tone,86.12
🤙🏾,call me hand: medium-dark skin tone,86.12
🤙🏿,call me hand: dark skin tone,88.31
👈,backhand index pointing left,82.08
👈🏻,backhand index pointing left: light skin tone,66.25
👈🏼,backhand index pointing left: medium-light skin tone,59.44
👈🏽,backhand index pointing left: medium skin tone,59.44
👈🏾,backhand index pointing left: medium-dark skin tone,59.44
👈🏿,backhand index pointing left: dark skin tone,69.79
👉,backhand index pointing right,36.81
👉🏻,backhand index pointing right: light skin tone,57.78
👉🏼,backhand index pointing right: medium-light skin tone,65.14
👉🏽,backhand index pointing right: medium skin tone,57.78
👉🏾,backhand index pointing right: medium-dark skin tone,57.78
👉🏿,backhand index pointing right: dark skin tone,48.33
👆,backhand index pointing up,36.81
👆🏻,backhand index pointing up: light skin tone,58.33
👆🏼,backhand index pointing up: medium-light skin tone,58.33
👆🏽,backhand index pointing up: medium skin tone,36.81
👆🏾,backhand index pointing up: medium-dark skin tone,36.81
👆🏿,backhand index pointing up: dark skin tone,63.65
🖕,middle finger,12.98
🖕🏻,middle finger: light skin tone,46.42
🖕🏼,middle finger: medium-light skin tone,46.42
🖕🏽,middle finger: medium skin tone,12.98
🖕🏾,middle finger: medium-dark skin tone,12.98
🖕🏿,middle finger: dark skin tone,51.74
👇,backhand index pointing down,36.81
👇🏻,backhand index pointing down: light skin tone,58.33
👇🏼,backhand index pointing down: medium-light skin tone,58.33
👇🏽,backhand index pointing down: medium skin tone,36.81
👇🏾,backhand index pointing down: medium-dark skin tone,63.65
👇🏿,backhand index pointing down: dark skin tone,63.65
☝️,index pointing up,36.81
☝,index pointing up,36.81
☝🏻,index pointing up: light skin tone,58.33
☝🏼,index pointing up: medium-light skin tone,58.33
☝🏽,index pointing up: medium skin tone,36.81
☝🏾,index pointing up: medium-dark skin tone,36.81
☝🏿,index pointing up: dark skin tone,63.65
🫵,index pointing at the viewer,36.81
🫵🏻,index pointing at the viewer: light skin tone,58.33
🫵🏼,index pointing at the viewer: medium-light skin tone,58.33
🫵🏽,index pointing at the viewer: medium skin tone,36.81
🫵🏾,index pointing at the viewer: medium-dark skin tone,36.81
🫵🏿,index pointing at the viewer: dark skin tone,36.81
👍🏻,thumbs up: light skin tone,45.25
👍🏼,thumbs up: medium-light skin tone,45.25
👍🏽,thumbs up: medium skin tone,10.65
👍🏾,thumbs up: medium-dark skin tone,10.65
👍🏿,thumbs up: dark skin tone,50.57
👎🏻,thumbs down: light skin tone,79.85
👎🏼,thumbs down: medium-light skin tone,79.85
👎🏾,thumbs down: medium-dark skin tone,90.5
👎🏿,thumbs down: dark skin tone,90.5
✊,raised fist,70.65
✊🏻,raised fist: light skin tone,70.65
✊🏼,raised fist: medium-light skin tone,52.47
✊🏽,raised fist: medium skin tone,38.78
✊🏾,raised fist: medium-dark skin tone,38.78
✊🏿,raised fist: dark skin tone,70.65
👊,oncoming fist,21.01
👊🏻,oncoming fist: light skin tone,50.43
👊🏼,oncoming fist: medium-light skin tone,35.92
👊🏽,oncoming fist: medium skin tone,13.96
👊🏾,oncoming fist: medium-dark skin tone,13.96
👊🏿,oncoming fist: dark skin tone,21.01
🤛,left-facing fist,48.35
🤛🏻,left-facing fist: light skin tone,34.53
🤛🏼,left-facing fist: medium-light skin tone,61.87
🤛🏽,left-facing fist: medium skin tone,55.87
🤛🏾,left-facing fist: medium-dark skin tone,55.87
🤛🏿,left-facing fist: dark skin tone,64.53
🤜,right-facing fist,78.7
🤜🏻,right-facing fist: light skin tone,61.04
🤜🏼,right-facing fist: medium-light skin tone,61.04
🤜🏽,right-facing fist: medium skin tone,54.77
🤜🏾,right-facing fist: medium-dark skin tone,54.77
🤜🏿,right-facing fist: dark skin tone,63.7
👏,clapping hands,63.22
👏🏻,clapping hands: light skin tone,71.54
