emoji,emoji_name,love_score
🙅🏿‍♂️,man gesturing NO: dark skin tone,36.55
🙅🏿‍♂,man gesturing NO: dark skin tone,36.55
🙅‍♀️,woman gesturing NO,36.55
🙅‍♀,woman gesturing NO,36.55
🙅🏻‍♀️,woman gesturing NO: light skin tone,32.99
🙅🏻‍♀,woman gesturing NO: light skin tone,32.99
🙅🏼‍♀️,woman gesturing NO: medium-light skin tone,36.55
🙅🏼‍♀,woman gesturing NO: medium-light skin tone,36.55
🙅🏽‍♀️,woman gesturing NO: medium skin tone,32.99
🙅🏽‍♀,woman gesturing NO: medium skin tone,32.99
🙅🏾‍♀️,woman gesturing NO: medium-dark skin tone,36.55
🙅🏾‍♀,woman gesturing NO: medium-dark skin tone,36.55
🙅🏿‍♀️,woman gesturing NO: dark skin tone,36.55
🙅🏿‍♀,woman gesturing NO: dark skin tone,36.55
🙆,person gesturing OK,50.4
🙆🏻,person gesturing OK: light skin tone,58.2
🙆🏼,person gesturing OK: medium-light skin tone,50.4
🙆🏽,person gesturing OK: medium skin tone,36.55
🙆🏾,person gesturing OK: medium-dark skin tone,36.55
🙆🏿,person gesturing OK: dark skin tone,36.55
🙆‍♂️,man gesturing OK,50.4
🙆‍♂,man gesturing OK,50.4
🙆🏻‍♂️,man gesturing OK: light skin tone,60.21
🙆🏻‍♂,man gesturing OK: light skin tone,60.21
🙆🏼‍♂️,man gesturing OK: medium-light skin tone,50.4
🙆🏼‍♂,man gesturing OK: medium-light skin tone,50.4
🙆🏽‍♂️,man gesturing OK: medium skin tone,50.4
🙆🏽‍♂,man gesturing OK: medium skin tone,50.4
🙆🏾‍♂️,man gesturing OK: medium-dark skin tone,50.4
🙆🏾‍♂,man gesturing OK: medium-dark skin tone,50.4
🙆🏿‍♂️,man gesturing OK: dark skin tone,63.76
🙆🏿‍♂,man gesturing OK: dark skin tone,63.76
🙆‍♀️,woman gesturing OK,50.4
🙆‍♀,woman gesturing OK,50.4
🙆🏻‍♀️,woman gesturing OK: light skin tone,60.21
🙆🏻‍♀,woman gesturing OK: light skin tone,60.21
🙆🏼‍♀️,woman gesturing OK: medium-light skin tone,50.4
🙆🏼‍♀,woman gesturing OK: medium-light skin tone,50.4
🙆🏽‍♀️,woman gesturing OK: medium skin tone,36.55
🙆🏽‍♀,woman gesturing OK: medium skin tone,36.55
🙆🏾‍♀️,woman gesturing OK: medium-dark skin tone,50.4
🙆🏾‍♀,woman gesturing OK: medium-dark skin tone,50.4
🙆🏿‍♀️,woman gesturing OK: dark skin tone,36.55
🙆🏿‍♀,woman gesturing OK: dark skin tone,36.55
💁,person tipping hand,26.72
💁🏻,person tipping hand: light skin tone,53.29
💁🏼,person tipping hand: medium-light skin tone,26.72
💁🏽,person tipping hand: medium skin tone,26.72
💁🏾,person tipping hand: medium-dark skin tone,26.72
💁🏿,person tipping hand: dark skin tone,26.72
💁‍♂️,man tipping hand,26.72
💁‍♂,man tipping hand,26.72
💁🏻‍♂️,man tipping hand: light skin tone,53.29
💁🏻‍♂,man tipping hand: light skin tone,53.29
💁🏼‍♂️,man tipping hand: medium-light skin tone,26.72
💁🏼‍♂,man tipping hand: medium-light skin tone,26.72
💁🏽‍♂️,man tipping hand: medium skin tone,26.72
💁🏽‍♂,man tipping hand: medium skin tone,26.72
💁🏾‍♂️,man tipping hand: medium-dark skin tone,26.72
💁🏾‍♂,man tipping hand: medium-dark skin tone,26.72
💁🏿‍♂️,man tipping hand: dark skin tone,26.72
💁🏿‍♂,man tipping hand: dark skin tone,26.72
💁‍♀️,woman tipping hand,26.72
💁‍♀,woman tipping hand,26.72
💁🏻‍♀️,woman tipping hand: light skin tone,53.29
💁🏻‍♀,woman tipping hand: light skin tone,53.29
💁🏼‍♀️,woman tipping hand: medium-light skin tone,26.72
💁🏼‍♀,woman tipping hand: medium-light skin tone,26.72
💁🏽‍♀️,woman tipping hand: medium skin tone,26.72
💁🏽‍♀,woman tipping hand: medium skin tone,26.72
💁🏾‍♀️,woman tipping hand: medium-dark skin tone,26.72
💁🏾‍♀,woman tipping hand: medium-dark skin tone,26.72
💁🏿‍♀️,woman tipping hand: dark skin tone,26.72
💁🏿‍♀,woman tipping hand: dark skin tone,26.72
🙋,person raising hand,70.65
🙋🏻,person raising hand: light skin tone,75.25
🙋🏼,person raising hand: medium-light skin tone,70.65
🙋🏽,person raising hand: medium skin tone,70.65
🙋🏾,person raising hand: medium-dark skin tone,70.65
🙋🏿,person raising hand: dark skin tone,80.57
🙋‍♂️,man raising hand,70.65
🙋‍♂,man raising hand,70.65
🙋🏻‍♂️,man raising hand: light skin tone,75.25
🙋🏻‍♂,man raising hand: light skin tone,75.25
🙋🏼‍♂️,man raising hand: medium-light skin tone,70.65
🙋🏼‍♂,man raising hand: medium-light skin tone,70.65
🙋🏽‍♂️,man raising hand: medium skin tone,70.65
🙋🏽‍♂,man raising hand: medium skin tone,70.65
🙋🏾‍♂️,man raising hand: medium-dark skin tone,70.65
🙋🏾‍♂,man raising hand: medium-dark skin tone,70.65
🙋🏿‍♂️,man raising hand: dark skin tone,80.57
🙋🏿‍♂,man raising hand: dark skin tone,80.57
🙋‍♀️,woman raising hand,70.65
🙋‍♀,woman raising hand,70.65
🙋🏻‍♀️,woman raising hand: light skin tone,75.25
🙋🏻‍♀,woman raising hand: light skin tone,75.25
🙋🏼‍♀️,woman raising hand: medium-light skin tone,70.65
🙋🏼‍♀,woman raising hand: medium-light skin tone,70.65
🙋🏽‍♀️,woman raising hand: medium skin tone,70.65
🙋🏽‍♀,woman raising hand: medium skin tone,70.65
🙋🏾‍♀️,woman raising hand: medium-dark skin tone,70.65
🙋🏾‍♀,woman raising hand: medium-dark skin tone,70.65
🙋🏿‍♀️,woman raising hand: dark skin tone,80.57
🙋🏿‍♀,woman raising hand: dark skin tone,80.57
🧏🏻,deaf person: light skin tone,46.07
🧏🏿,deaf person: dark skin tone,90.5
🧏🏻‍♂️,deaf man: light skin tone,54.64
🧏🏻‍♂,deaf man: light skin tone,54.64
🧏🏼‍♂️,deaf man: medium-light skin tone,79.85
🧏🏼‍♂,deaf man: medium-light skin tone,79.85
🧏🏽‍♂️,deaf man: medium skin tone,29.43
🧏🏽‍♂,deaf man: medium skin tone,29.43
🧏🏾‍♂️,deaf man: medium-dark skin tone,90.5
🧏🏾‍♂,deaf man: medium-dark skin tone,90.5
🧏🏿‍♂️,deaf man: dark skin tone,29.43
🧏🏿‍♂,deaf man: dark skin tone,29.43
🧏🏻‍♀️,deaf woman: light skin tone,40.53
🧏🏻‍♀,deaf woman: light skin tone,40.53
🧏🏼‍♀️,deaf woman: medium-light skin tone,79.85
🧏🏼‍♀,deaf woman: medium-light skin tone,79.85
🧏🏿‍♀️,deaf woman: dark skin tone,90.5
🧏🏿‍♀,deaf woman: dark skin tone,90.5
🙇,person bowing,52.52
🙇🏻,person bowing: light skin tone,66.19
🙇🏼,person bowing: medium-light skin tone,66.19
🙇🏽,person bowing: medium skin tone,52.52
🙇🏾,person bowing: medium-dark skin tone,52.52
🙇🏿,person bowing: dark skin tone,71.51
🙇‍♂️,man bowing,52.52
🙇‍♂,man bowing,52.52
🙇🏻‍♂️,man bowing: light skin tone,66.19
🙇🏻‍♂,man bowing: light skin tone,66.19
🙇🏼‍♂️,man bowing: medium-light skin tone,66.19
🙇🏼‍♂,man bowing: medium-light skin tone,66.19
🙇🏽‍♂️,man bowing: medium skin tone,52.52
🙇🏽‍♂,man bowing: medium skin tone,52.52
🙇🏾‍♂️,man bowing: medium-dark skin tone,52.52
🙇🏾‍♂,man bowing: medium-dark skin tone,52.52
🙇🏿‍♂️,man bowing: dark skin tone,71.51
🙇🏿‍♂,man bowing: dark skin tone,71.51
🙇‍♀️,woman bowing,52.52
🙇‍♀,woman bowing,52.52
🙇🏻‍♀️,woman bowing: light skin tone,66.19
🙇🏻‍♀,woman bowing: light skin tone,66.19
🙇🏼‍♀️,woman bowing: medium-light skin tone,66.19
🙇🏼‍♀,woman bowing: medium-light skin tone,66.19
🙇🏽‍♀️,woman bowing: medium skin tone,52.52
🙇🏽‍♀,woman bowing: medium skin tone,52.52
🙇🏾‍♀️,woman bowing: medium-dark skin tone,52.52
🙇🏾‍♀,woman bowing: medium-dark skin tone,52.52
🙇🏿‍♀️,woman bowing: dark skin tone,71.51
🙇🏿‍♀,woman bowing: dark skin tone,71.51
🤦🏻,person facepalming: light skin tone,79.85
🤦🏼,person facepalming: medium-light skin tone,79.85
🤦🏿,person facepalming: dark skin tone,90.5
🤦🏻‍♂️,man facepalming: light skin tone,79.85
🤦🏻‍♂,man facepalming: light skin tone,79.85
🤦🏼‍♂️,man facepalming: medium-light skin tone,79.85
🤦🏼‍♂,man facepalming: medium-light skin tone,79.85
🤦🏿‍♂️,man facepalming: dark skin tone,90.5
🤦🏿‍♂,man facepalming: dark skin tone,90.5
🤦🏻‍♀️,woman facepalming: light skin tone,79.85
🤦🏻‍♀,woman facepalming: light skin tone,79.85
🤦🏼‍♀️,woman facepalming: medium-light skin tone,79.85
🤦🏼‍♀,woman facepalming: medium-light skin tone,79.85
🤦🏿‍♀️,woman facepalming: dark skin tone,90.5
🤦🏿‍♀,woman facepalming: dark skin tone,90.5
🤷,person shrugging,44.14
🤷🏻,person shrugging: light skin tone,62.0
🤷🏼,person shrugging: medium-light skin tone,62.0
🤷🏽,person shrugging: medium skin tone,44.14
🤷🏾,person shrugging: medium-dark skin tone,44.14
🤷🏿,person shrugging: dark skin tone,67.32
🤷‍♂️,man shrugging,44.14
🤷‍♂,man shrugging,44.14
🤷🏻‍♂️,man shrugging: light skin tone,62.0
🤷🏻‍♂,man shrugging: light skin tone,62.0
🤷🏼‍♂️,man shrugging: medium-light skin tone,62.0
🤷🏼‍♂,man shrugging: medium-light skin tone,62.0
🤷🏽‍♂️,man shrugging: medium skin tone,44.14
🤷🏽‍♂,man shrugging: medium skin tone,44.14
🤷🏾‍♂️,man shrugging: medium-dark skin tone,44.14
🤷🏾‍♂,man shrugging: medium-dark skin tone,44.14
🤷🏿‍♂️,man shrugging: dark skin tone,67.32
🤷🏿‍♂,man shrugging: dark skin tone,67.32
🤷‍♀️,woman shrugging,44.14
🤷‍♀,woman shrugging,44.14
🤷🏻‍♀️,woman shrugging: light skin tone,62.0
🤷🏻‍♀,woman shrugging: light skin tone,62.0
🤷🏼‍♀️,woman shrugging: medium-light skin tone,62.0
🤷🏼‍♀,woman shrugging: medium-light skin tone,62.0
🤷🏽‍♀️,woman shrugging: medium skin tone,44.14
🤷🏽‍♀,woman shrugging: medium skin tone,44.14
🤷🏾‍♀️,woman shrugging: medium-dark skin tone,44.14
🤷🏾‍♀,woman shrugging: medium-dark skin tone,44.14
🤷🏿‍♀️,woman shrugging: dark skin tone,67.32
🤷🏿‍♀,woman shrugging: dark skin tone,67.32
🧑🏻‍⚕️,health worker: light skin tone,54.64
🧑🏻‍⚕,health worker: light skin tone,54.64
🧑🏼‍⚕️,health worker: medium-light skin tone,79.85
🧑🏼‍⚕,health worker: medium-light skin tone,79.85
👨🏻‍⚕️,man health worker: light skin tone,54.64
👨🏻‍⚕,man health worker: light skin tone,54.64
👨🏼‍⚕️,man health worker: medium-light skin tone,79.85
👨🏼‍⚕,man health worker: medium-light skin tone,79.85
👩🏻‍⚕️,woman health worker: light skin tone,54.64
👩🏻‍⚕,woman health worker: light skin tone,54.64
👩🏼‍⚕️,woman health worker: medium-light skin tone,79.85
👩🏼‍⚕,woman health worker: medium-light skin tone,79.85
🧑🏻‍🎓,student: light skin tone,79.85
🧑🏼‍🎓,student: medium-light skin tone,79.85
👨🏻‍🎓,man student: light skin tone,79.85
👨🏼‍🎓,man student: medium-light skin tone,79.85
👨🏿‍🎓,man student: dark skin tone,90.5
👩🏻‍🎓,woman student: light skin tone,79.85
👩🏼‍🎓,woman student: medium-light skin tone,79.85
🧑🏻‍🏫,teacher: light skin tone,42.01
🧑🏼‍🏫,teacher: medium-light skin tone,42.01
🧑🏽‍🏫,teacher: medium skin tone,4.17
🧑🏾‍🏫,teacher: medium-dark skin tone,47.33
🧑🏿‍🏫,teacher: dark skin tone,47.33
👨🏻‍🏫,man teacher: light skin tone,79.85
👨🏼‍🏫,man teacher: medium-light skin tone,44.94
👨🏽‍🏫,man teacher: medium skin tone,10.03
👨🏾‍🏫,man teacher: medium-dark skin tone,50.26
👨🏿‍🏫,man teacher: dark skin tone,90.5
👩🏻‍🏫,woman teacher: light skin tone,79.85
👩🏼‍🏫,woman teacher: medium-light skin tone,79.85
👩🏿‍🏫,woman teacher: dark skin tone,90.5
🧑🏼‍⚖️,judge: medium-light skin tone,79.85
🧑🏼‍⚖,judge: medium-light skin tone,79.85
👨🏻‍⚖️,man judge: light skin tone,79.85
👨🏻‍⚖,man judge: light skin tone,79.85
👨🏼‍⚖️,man judge: medium-light skin tone,79.85
👨🏼‍⚖,man judge: medium-light skin tone,79.85
👨🏿‍⚖️,man judge: dark skin tone,90.5
👨🏿‍⚖,man judge: dark skin tone,90.5
👩🏻‍⚖️,woman judge: light skin tone,54.64
👩🏻‍⚖,woman judge: light skin tone,54.64
👩🏼‍⚖️,woman judge: medium-light skin tone,79.85
👩🏼‍⚖,woman judge: medium-light skin tone,79.85
🧑🏼‍🌾,farmer: medium-light skin tone,79.85
👨🏻‍🌾,man farmer: light skin tone,79.85
👨🏼‍🌾,man farmer: medium-light skin tone,79.85
👩🏼‍🌾,woman farmer: medium-light skin tone,79.85
👩🏾‍🌾,woman farmer: medium-dark skin tone,15.07
🧑🏻‍🍳,cook: light skin tone,79.85
🧑🏼‍🍳,cook: medium-light skin tone,79.85
👨🏻‍🍳,man cook: light skin tone,79.85
👨🏼‍🍳,man cook: medium-light skin tone,79.85
👨🏿‍🍳,man cook: dark skin tone,90.5
👩🏻‍🍳,woman cook: light skin tone,79.85
👩🏼‍🍳,woman cook: medium-light skin tone,79.85
👩🏾‍🍳,woman cook: medium-dark skin tone,52.7
🧑🏻‍🔧,mechanic: light skin tone,3.96
🧑🏼‍🔧,mechanic: medium-light skin tone,41.9
🧑🏽‍🔧,mechanic: medium skin tone,3.96
🧑🏾‍🔧,mechanic: medium-dark skin tone,3.96
🧑🏿‍🔧,mechanic: dark skin tone,3.96
👨🏻‍🔧,man mechanic: light skin tone,41.9
👨🏼‍🔧,man mechanic: medium-light skin tone,41.9
👨🏽‍🔧,man mechanic: medium skin tone,3.96
👨🏾‍🔧,man mechanic: medium-dark skin tone,3.96
👨🏿‍🔧,man mechanic: dark skin tone,3.96
👩🏻‍🔧,woman mechanic: light skin tone,3.96
👩🏼‍🔧,woman mechanic: medium-light skin tone,41.9
👩🏽‍🔧,woman mechanic: medium skin tone,3.96
👩🏾‍🔧,woman mechanic: medium-dark skin tone,3.96
👩🏿‍🔧,woman mechanic: dark skin tone,3.96
🧑🏻‍🏭,factory worker: light skin tone,54.64
🧑🏼‍🏭,factory worker: medium-light skin tone,79.85
👨🏻‍🏭,man factory worker: light skin tone,54.64
👨🏼‍🏭,man factory worker: medium-light skin tone,79.85
👩🏻‍🏭,woman factory worker: light skin tone,54.64
👩🏼‍🏭,woman factory worker: medium-light skin tone,79.85
🧑🏻‍💼,office worker: light skin tone,54.64
🧑🏼‍💼,office worker: medium-light skin tone,79.85
👨🏻‍💼,man office worker: light skin tone,54.64
👨🏼‍💼,man office worker: medium-light skin tone,79.85
👩🏻‍💼,woman office worker: light skin tone,54.64
👩🏼‍💼,woman office worker: medium-light skin tone,79.85
🧑🏻‍🔬,scientist: light skin tone,79.85
🧑🏼‍🔬,scientist: medium-light skin tone,79.85
👨🏻‍🔬,man scientist: light skin tone,79.85
👨🏼‍🔬,man scientist: medium-light skin tone,79.85
👨🏿‍🔬,man scientist: dark skin tone,90.5
👩🏻‍🔬,woman scientist: light skin tone,79.85
👩🏼‍🔬,woman scientist: medium-light skin tone,79.85
🧑🏻‍💻,technologist: light skin tone,79.85
🧑🏼‍💻,technologist: medium-light skin tone,46.73
🧑🏾‍💻,technologist: medium-dark skin tone,13.6
👨🏻‍💻,man technologist: light skin tone,79.85
👨🏼‍💻,man technologist: medium-light skin tone,79.85
👨🏿‍💻,man technologist: dark skin tone,90.5
👩🏻‍💻,woman technologist: light skin tone,79.85
👩🏼‍💻,woman technologist: medium-light skin tone,79.85
🧑🏻‍🎤,singer: light skin tone,79.85
🧑🏼‍🎤,singer: medium-light skin tone,79.85
👨🏻‍🎤,man singer: light skin tone,79.85
👨🏼‍🎤,man singer: medium-light skin tone,79.85
👨🏿‍🎤,man singer: dark skin tone,90.5
👩🏻‍🎤,woman singer: light skin tone,79.85
👩🏼‍🎤,woman singer: medium-light skin tone,79.85
👩🏿‍🎤,woman singer: dark skin tone,90.5
🧑🏻‍🎨,artist: light skin tone,79.85
🧑🏼‍🎨,artist: medium-light skin tone,41.0
🧑🏾‍🎨,artist: medium-dark skin tone,2.15
👨🏻‍🎨,man artist: light skin tone,79.85
👨🏼‍🎨,man artist: medium-light skin tone,79.85
👨🏾‍🎨,man artist: medium-dark skin tone,90.5
👨🏿‍🎨,man artist: dark skin tone,90.5
👩🏻‍🎨,woman artist: light skin tone,79.85
👩🏼‍🎨,woman artist: medium-light skin tone,79.85
👩🏾‍🎨,woman artist: medium-dark skin tone,90.5
🧑🏻‍✈️,pilot: light skin tone,79.85
🧑🏻‍✈,pilot: light skin tone,79.85
🧑🏼‍✈️,pilot: medium-light skin tone,79.85
🧑🏼‍✈,pilot: medium-light skin tone,79.85
👨🏻‍✈️,man pilot: light skin tone,79.85
👨🏻‍✈,man pilot: light skin tone,79.85
👨🏼‍✈️,man pilot: medium-light skin tone,79.85
👨🏼‍✈,man pilot: medium-light skin tone,79.85
👨🏿‍✈️,man pilot: dark skin tone,90.5
👨🏿‍✈,man pilot: dark skin tone,90.5
👩🏻‍✈️,woman pilot: light skin tone,79.85
👩🏻‍✈,woman pilot: light skin tone,79.85
👩🏼‍✈️,woman pilot: medium-light skin tone,79.85
👩🏼‍✈,woman pilot: medium-light skin tone,79.85
👩🏿‍✈️,woman pilot: dark skin tone,90.5
👩🏿‍✈,woman pilot: dark skin tone,90.5
🧑🏻‍🚀,astronaut: light skin tone,47.26
🧑🏼‍🚀,astronaut: medium-light skin tone,47.26
🧑🏽‍🚀,astronaut: medium skin tone,14.66
🧑🏾‍🚀,astronaut: medium-dark skin tone,14.66
🧑🏿‍🚀,astronaut: dark skin tone,90.5
👨🏻‍🚀,man astronaut: light skin tone,79.85
👨🏼‍🚀,man astronaut: medium-light skin tone,34.85
👨🏽‍🚀,man astronaut: medium skin tone,12.35
👨🏾‍🚀,man astronaut: medium-dark skin tone,38.4
👨🏿‍🚀,man astronaut: dark skin tone,52.58
👩🏻‍🚀,woman astronaut: light skin tone,79.85
👩🏼‍🚀,woman astronaut: medium-light skin tone,34.85
👩🏽‍🚀,woman astronaut: medium skin tone,12.35
👩🏾‍🚀,woman astronaut: medium-dark skin tone,38.4
👩🏿‍🚀,woman astronaut: dark skin tone,52.58
🧑🏻‍🚒,firefighter: light skin tone,79.85
🧑🏼‍🚒,firefighter: medium-light skin tone,79.85
👨🏻‍🚒,man firefighter: light skin tone,79.85
👨🏼‍🚒,man firefighter: medium-light skin tone,79.85
👨🏿‍🚒,man firefighter: dark skin tone,90.5
👩🏻‍🚒,woman firefighter: light skin tone,79.85
👩🏼‍🚒,woman firefighter: medium-light skin tone,43.78
👮🏻,police officer: light skin tone,16.48
👮🏼,police officer: medium-light skin tone,79.85
👮🏽,police officer: medium skin tone,29.43
👮🏿,police officer: dark skin tone,29.43
👮🏻‍♂️,man police officer: light skin tone,29.43
👮🏻‍♂,man police officer: light skin tone,29.43
👮🏼‍♂️,man police officer: medium-light skin tone,79.85
👮🏼‍♂,man police officer: medium-light skin tone,79.85
👮🏽‍♂️,man police officer: medium skin tone,29.43
👮🏽‍♂,man police officer: medium skin tone,29.43
👮🏿‍♂️,man police officer: dark skin tone,29.43
👮🏿‍♂,man police officer: dark skin tone,29.43
👮🏻‍♀️,woman police officer: light skin tone,29.43
👮🏻‍♀,woman police officer: light skin tone,29.43
👮🏼‍♀️,woman police officer: medium-light skin tone,79.85
👮🏼‍♀,woman police officer: medium-light skin tone,79.85
👮🏽‍♀️,woman police officer: medium skin tone,29.43
👮🏽‍♀,woman police officer: medium skin tone,29.43
👮🏿‍♀️,woman police officer: dark skin tone,29.43
👮🏿‍♀,woman police officer: dark skin tone,29.43
🕵🏻,detective: light skin tone,12.9
🕵🏼,detective: medium-light skin tone,46.38
🕵🏽,detective: medium skin tone,12.9
🕵🏾,detective: medium-dark skin tone,12.9
🕵🏿,detective: dark skin tone,12.9
🕵🏻‍♂️,man detective: light skin tone,46.38
🕵🏻‍♂,man detective: light skin tone,46.38
🕵🏼‍♂️,man detective: medium-light skin tone,46.38
🕵🏼‍♂,man detective: medium-light skin tone,46.38
🕵🏽‍♂️,man detective: medium skin tone,12.9
🕵🏽‍♂,man detective: medium skin tone,12.9
🕵🏾‍♂️,man detective: medium-dark skin tone,12.9
🕵🏾‍♂,man detective: medium-dark skin tone,12.9
🕵🏿‍♂️,man detective: dark skin tone,51.7
🕵🏿‍♂,man detective: dark skin tone,51.7
🕵🏻‍♀️,woman detective: light skin tone,12.9
🕵🏻‍♀,woman detective: light skin tone,12.9
🕵🏼‍♀️,woman detective: medium-light skin tone,46.38
🕵🏼‍♀,woman detective: medium-light skin tone,46.38
🕵🏽‍♀️,woman detective: medium skin tone,12.9
🕵🏽‍♀,woman detective: medium skin tone,12.9
🕵🏾‍♀️,woman detective: medium-dark skin tone,12.9
🕵🏾‍♀,woman detective: medium-dark skin tone,12.9
🕵🏿‍♀️,woman detective: dark skin tone,12.9
🕵🏿‍♀,woman detective: dark skin tone,12.9
💂🏼,guard: medium-light skin tone,79.85
💂🏻‍♂️,man guard: light skin tone,79.85
💂🏻‍♂,man guard: light skin tone,79.85
💂🏼‍♂️,man guard: medium-light skin tone,79.85
💂🏼‍♂,man guard: medium-light skin tone,79.85
💂🏼‍♀️,woman guard: medium-light skin tone,79.85
💂🏼‍♀,woman guard: medium-light skin tone,79.85
🥷🏻,ninja: light skin tone,42.05
🥷🏼,ninja: medium-light skin tone,42.05
🥷🏽,ninja: medium skin tone,4.25
🥷🏾,ninja: medium-dark skin tone,4.25
🥷🏿,ninja: dark skin tone,4.25
👷🏻,construction worker: light skin tone,54.64
👷🏼,construction worker: medium-light skin tone,79.85
👷🏻‍♂️,man construction worker: light skin tone,54.64
👷🏻‍♂,man construction worker: light skin tone,54.64
👷🏼‍♂️,man construction worker: medium-light skin tone,79.85
👷🏼‍♂,man construction worker: medium-light skin tone,79.85
👷🏻‍♀️,woman construction worker: light skin tone,54.64
👷🏻‍♀,woman construction worker: light skin tone,54.64
👷🏼‍♀️,woman construction worker: medium-light skin tone,79.85
👷🏼‍♀,woman construction worker: medium-light skin tone,79.85
🫅🏻,person with crown: light skin tone,46.46
🫅🏼,person with crown: medium-light skin tone,46.46
🫅🏽,person with crown: medium skin tone,13.07
🫅🏾,person with crown: medium-dark skin tone,13.07
🫅🏿,person with crown: dark skin tone,51.78
🤴🏻,prince: light skin tone,79.85
🤴🏼,prince: medium-light skin tone,79.85
👸🏻,princess: light skin tone,79.85
👸🏼,princess: medium-light skin tone,66.99
👳,person wearing turban,59.81
👳🏻,person wearing turban: light skin tone,69.83
👳🏼,person wearing turban: medium-light skin tone,48.64
👳🏽,person wearing turban: medium skin tone,33.04
👳🏾,person wearing turban: medium-dark skin tone,33.04
👳🏿,person wearing turban: dark skin tone,59.81
👳‍♂️,man wearing turban,59.81
👳‍♂,man wearing turban,59.81
👳🏻‍♂️,man wearing turban: light skin tone,48.64
👳🏻‍♂,man wearing turban: light skin tone,48.64
👳🏼‍♂️,man wearing turban: medium-light skin tone,48.64
👳🏼‍♂,man wearing turban: medium-light skin tone,48.64
👳🏽‍♂️,man wearing turban: medium skin tone,33.04
👳🏽‍♂,man wearing turban: medium skin tone,33.04
👳🏾‍♂️,man wearing turban: medium-dark skin tone,33.04
👳🏾‍♂,man wearing turban: medium-dark skin tone,33.04
👳🏿‍♂️,man wearing turban: dark skin tone,52.19
👳🏿‍♂,man wearing turban: dark skin tone,52.19
👳‍♀️,woman wearing turban,59.81
👳‍♀,woman wearing turban,59.81
👳🏻‍♀️,woman wearing turban: light skin tone,48.64
👳🏻‍♀,woman wearing turban: light skin tone,48.64
👳🏼‍♀️,woman wearing turban: medium-light skin tone,48.64
👳🏼‍♀,woman wearing turban: medium-light skin tone,48.64
👳🏽‍♀️,woman wearing turban: medium skin tone,33.04
👳🏽‍♀,woman wearing turban: medium skin tone,33.04
👳🏾‍♀️,woman wearing turban: medium-dark skin tone,33.04
👳🏾‍♀,woman wearing turban: medium-dark skin tone,33.04
👳🏿‍♀️,woman wearing turban: dark skin tone,52.19
👳🏿‍♀,woman wearing turban: dark skin tone,52.19
👲🏻,person with skullcap: light skin tone,79.85
👲🏼,person with skullcap: medium-light skin tone,43.71
👲🏽,person with skullcap: medium skin tone,7.57
👲🏾,person with skullcap: medium-dark skin tone,7.57
🧕🏻,woman with headscarf: light skin tone,79.85
🧕🏼,woman with headscarf: medium-light skin tone,40.81
🧕🏽,woman with headscarf: medium skin tone,1.77
🧕🏾,woman with headscarf: medium-dark skin tone,1.77
🧕🏿,woman with headscarf: dark skin tone,46.14
🤵🏻,person in tuxedo: light skin tone,79.85
🤵🏼,person in tuxedo: medium-light skin tone,48.45
🤵🏽,person in tuxedo: medium skin tone,17.06
🤵🏾,person in tuxedo: medium-dark skin tone,17.06
🤵🏻‍♂️,man in tuxedo: light skin tone,48.45
🤵🏻‍♂,man in tuxedo: light skin tone,48.45
🤵🏼‍♂️,man in tuxedo: medium-light skin tone,48.45
🤵🏼‍♂,man in tuxedo: medium-light skin tone,48.45
🤵🏽‍♂️,man in tuxedo: medium skin tone,17.06
🤵🏽‍♂,man in tuxedo: medium skin tone,17.06
🤵🏾‍♂️,man in tuxedo: medium-dark skin tone,17.06
🤵🏾‍♂,man in tuxedo: medium-dark skin tone,17.06
🤵🏿‍♂️,man in tuxedo: dark skin tone,53.78
🤵🏿‍♂,man in tuxedo: dark skin tone,53.78
🤵🏻‍♀️,woman in tuxedo: light skin tone,79.85
🤵🏻‍♀,woman in tuxedo: light skin tone,79.85
🤵🏼‍♀️,woman in tuxedo: medium-light skin tone,48.45
🤵🏼‍♀,woman in tuxedo: medium-light skin tone,48.45
🤵🏽‍♀️,woman in tuxedo: medium skin tone,17.06
🤵🏽‍♀,woman in tuxedo: medium skin tone,17.06
🤵🏾‍♀️,woman in tuxedo: medium-dark skin tone,17.06
🤵🏾‍♀,woman in tuxedo: medium-dark skin tone,17.06
🤵🏿‍♀️,woman in tuxedo: dark skin tone,53.78
🤵🏿‍♀,woman in tuxedo: dark skin tone,53.78
👰🏻,person with veil: light skin tone,79.85
👰🏼,person with veil: medium-light skin tone,54.94
👰🏽,person with veil: medium skin tone,30.02
👰🏾,person with veil: medium-dark skin tone,30.02
👰🏿,person with veil: dark skin tone,60.26
👰🏻‍♂️,man with veil: light skin tone,54.94
👰🏻‍♂,man with veil: light skin tone,54.94
👰🏼‍♂️,man with veil: medium-light skin tone,54.94
👰🏼‍♂,man with veil: medium-light skin tone,54.94
👰🏽‍♂️,man with veil: medium skin tone,30.02
👰🏽‍♂,man with veil: medium skin tone,30.02
👰🏾‍♂️,man with veil: medium-dark skin tone,30.02
👰🏾‍♂,man with veil: medium-dark skin tone,30.02
👰🏿‍♂️,man with veil: dark skin tone,60.26
👰🏿‍♂,man with veil: dark skin tone,60.26
👰🏻‍♀️,woman with veil: light skin tone,54.94
👰🏻‍♀,woman with veil: light skin tone,54.94
👰🏼‍♀️,woman with veil: medium-light skin tone,54.94
